# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
984717at2	Complete	contig	1302530	1303435	+	227.0	220	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	contig	2198043	2196892	-	260.1	218	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	contig	797415	796261	-	460.6	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	contig	346556	348388	+	286.8	318	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	contig	2097449	2096724	-	142.6	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	contig	2938477	2940066	+	606.9	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	contig	1062127	1063233	+	455.1	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	contig	2608313	2607363	-	161.0	178	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	contig	1203151	1201490	-	302.9	381	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	contig	1071785	1072846	+	393.5	262	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	contig	2206326	2205010	-	320.7	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	contig	424021	424722	+	213.6	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	contig	2207411	2206329	-	281.8	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	contig	564141	565085	+	134.9	119	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	contig	432228	432848	+	214.7	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	contig	675276	676289	+	252.5	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	contig	3041491	3042258	+	317.4	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	contig	420978	421607	+	174.5	160	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	contig	2213319	2212378	-	141.3	155	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	contig	93635	92412	-	331.6	297	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	contig	2092730	2091378	-	135.2	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	contig	427763	428296	+	142.9	129	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	contig	121117	122136	+	266.0	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	contig	426465	427004	+	229.2	140	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	contig	2967867	2967370	-	83.7	114	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	contig	792919	792188	-	49.5	79	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	contig	1788710	1788066	-	142.7	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	contig	1209794	1210342	+	34.9	37	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	contig	84055	83432	-	279.2	186	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	contig	2300856	2299918	-	202.9	219	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	contig	428674	429177	+	228.8	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	contig	414925	415395	+	198.4	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	contig	429806	431137	+	361.2	297	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	contig	421618	422223	+	122.4	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	contig	1863937	1863518	-	137.2	143	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	contig	3250539	3251162	+	69.2	82	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	contig	2606900	2605620	-	501.2	372	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	contig	558834	559286	+	51.8	47	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	contig	2099428	2098703	-	273.4	186	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	contig	1791541	1790936	-	159.6	149	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	contig	423671	424003	+	117.9	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	contig	2968991	2968287	-	216.9	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	contig	2096577	2096020	-	160.5	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	contig	503700	503116	-	125.1	103	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	contig	427358	427750	+	233.6	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	contig	1211195	1211542	+	120.5	88	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	contig	3255951	3256814	+	172.5	144	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	contig	2969423	2968995	-	128.8	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	contig	414455	414829	+	174.5	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Missing
1720952at2	Complete	contig	1199976	1199449	-	196.7	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	contig	1303447	1304175	+	75.2	104	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	contig	970579	970145	-	101.8	94	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	contig	504330	504722	+	115.8	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	contig	431432	431788	+	147.4	95	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	contig	2581342	2580947	-	65.3	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	contig	424735	425145	+	156.8	101	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	contig	425754	426125	+	138.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	contig	503886	504314	+	163.5	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	contig	2967303	2966938	-	92.0	87	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	contig	2611969	2611508	-	84.5	68	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	contig	276809	276213	-	100.4	83	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	contig	1601512	1601985	+	79.9	75	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	contig	433904	434287	+	106.4	82	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	contig	2974831	2973869	-	45.7	75	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	contig	2506237	2507172	+	154.9	180	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	contig	96529	96050	-	127.6	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	contig	429364	429798	+	78.6	72	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	contig	1301796	1302533	+	80.0	105	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	contig	423378	423656	+	134.1	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	contig	544370	544627	+	126.0	68	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	contig	1204238	1204828	+	48.9	70	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	contig	969801	969445	-	125.6	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	contig	1209527	1209775	+	104.4	68	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	contig	3253813	3254346	+	143.5	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	contig	2580621	2580394	-	87.5	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	contig	544039	544350	+	128.6	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	contig	2580352	2579903	-	84.9	81	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	contig	428306	428659	+	134.6	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	contig	563740	564141	+	136.7	123	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	contig	422220	422522	+	112.9	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	contig	565236	565505	+	108.0	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	contig	1630008	1630325	+	89.9	79	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	contig	2301185	2301448	+	78.4	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	contig	420634	420945	+	142.1	86	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	contig	425336	425590	+	91.8	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	contig	426136	426450	+	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	contig	970049	969852	-	34.3	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	contig	425145	425336	+	50.4	38	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	contig	1346354	1346572	+	93.6	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	contig	790442	790026	-	44.0	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
